	label	label_color	node	branch_id	branch_id_alias	branch_lam	branch_dist	S0_pseudotime	S3_pseudotime	S2_pseudotime	S5_pseudotime	S4_pseudotime	S1_pseudotime
Prog_738	CMP	#d84f40	48	(6, 1)	('S3', 'S0')	0.005305885884265378	0.0007359496508238562	0.007075285510671717	0.005305885884265378	0.009775864417688719	0.01563407800506492	0.01613690252806478	0.023462319080011715
Prog_744	CMP	#d84f40	32	(6, 1)	('S3', 'S0')	0.00639674710163235	0.001915172267580283	0.005984424293304745	0.00639674710163235	0.008685003200321745	0.016724939222431894	0.017227763745431755	0.022371457862644745
Prog_750	CMP	#d84f40	56	(6, 1)	('S3', 'S0')	0.0032659275261475544	0.0012974250248159141	0.00911524386878954	0.0032659275261475544	0.01181582277580654	0.013594119646947097	0.01409694416994696	0.025502277438129536
Prog_762	CMP	#d84f40	42	(80, 1)	('S2', 'S0')	0.0023227637274339384	0.00017277951122725326	0.0003778151795830625	0.012758986574520157	0.0023227637274339384	0.0230871786953197	0.023590003218319566	0.01676484874892306
LT-HSC_204	LTHSC	#40bdbd	29	(83, 1)	('S1', 'S0')	0.011251146342649529	0.0009540721348991959	0.005135887226690469	0.017517058621627564	0.007836466133707469	0.027845250742427108	0.028348075265426972	0.011251146342649529
Prog_726	MEP	#286ee1	69	(6, 1)	('S3', 'S0')	0.0018674895189917007	0.0004697856436335199	0.010513681875945395	0.0018674895189917007	0.013214260782962395	0.012195681639791242	0.012698506162791105	0.02690071544528539
HSPC_769	LMPP	#7c5246	37	(83, 1)	('S1', 'S0')	0.010904971996747781	0.0023200582212452928	0.005482061572592217	0.017863232967529313	0.008182640479609218	0.028191425088328854	0.02869424961132872	0.010904971996747781
HSPC_781	LTHSC	#40bdbd	17	(83, 1)	('S1', 'S0')	0.0064290478547133646	4.9505786302737976e-05	0.009957985714626633	0.022339157109563728	0.012658564621643633	0.03266734923036327	0.03317017375336313	0.0064290478547133646
HSPC_787	MPP	#eea113	29	(83, 1)	('S1', 'S0')	0.011547125943902331	0.0005921606138972368	0.004839907625437666	0.01722107902037476	0.007540486532454667	0.0275492711411743	0.028052095664174166	0.011547125943902331
HSPC_799	MPP	#eea113	12	(83, 1)	('S1', 'S0')	0.005660532796676485	0.0003591219786998212	0.010726500772663513	0.02310767216760061	0.013427079679680515	0.03343586428840015	0.03393868881140001	0.005660532796676485
HSPC_770	MPP2	#000000	25	(83, 1)	('S1', 'S0')	0.012471542358937573	0.0009016619734800301	0.003915491210402425	0.016296662605339518	0.006616070117419426	0.026624854726139062	0.027127679249138927	0.012471542358937573
HSPC_776	MPP1	#db721b	3	(83, 1)	('S1', 'S0')	0.004184871914005934	0.0004681090799964753	0.012202161655334064	0.02458333305027116	0.014902740562351066	0.0349115251710707	0.03541434969407056	0.004184871914005934
HSPC_782	MPP3	#bd4040	9	(80, 1)	('S2', 'S0')	0.0018415134264421337	0.0004264166472977409	0.0008590654805748672	0.013240236875511962	0.0018415134264421337	0.023568428996311504	0.02407125351931137	0.017246099049914865
HSPC_788	MPP3	#bd4040	72	(83, 1)	('S1', 'S0')	0.01545559889410924	0.0003216462881995276	0.0009314346752307568	0.013312606070167852	0.0036320135822477577	0.023640798190967392	0.024143622713967257	0.01545559889410924
HSPC_794	MPP3	#bd4040	72	(83, 1)	('S1', 'S0')	0.015406239053109836	0.0007624719950395662	0.0009807945162301612	0.013361965911167256	0.003681373423247162	0.0236901580319668	0.024192982554966665	0.015406239053109836
HSPC_800	MPP2	#000000	10	(83, 1)	('S1', 'S0')	0.005061506057758573	0.00041599317143012365	0.011325527511581425	0.023706698906518518	0.014026106418598427	0.03403489102731806	0.03453771555031793	0.005061506057758573
LT-HSC_206	LTHSC	#40bdbd	40	(83, 1)	('S1', 'S0')	0.0025339775322930965	0.00021069718662886243	0.013853056037046901	0.026234227431983996	0.0165536349440639	0.03656241955278354	0.037065244075783405	0.0025339775322930965
